State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Months,Temperature,Rainfall,Humidity,Sun hours
Bihar,PURNIA,2014,Rabi       ,Peas & beans (Pulses),5.111987788,5.123963979,0.699189495,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,PURNIA,2014,Rabi       ,Sunflower,7.395107547,7.76937861,0.897805,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,1997,Rabi       ,Sunflower,2.890371758,2.63905733,0.567984038,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,1997,Whole Year ,Dry chillies,5.525452939,5.365976015,0.616266136,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,1997,Whole Year ,Potato,7.67971364,9.891566782,2.316131391,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,1998,Kharif     ,Sunflower,2.397895273,2.197224577,0.587786665,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,1998,Whole Year ,Dry chillies,5.572154032,5.693732139,0.756014459,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,1998,Whole Year ,Potato,7.808729307,10.47689353,2.735596325,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,1999,Kharif     ,Sunflower,3.33220451,3.044522438,0.554310736,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,1999,Rabi       ,Peas & beans (Pulses),6.8134446,6.428105273,0.518715211,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,1999,Whole Year ,Dry chillies,4.204692619,4.025351691,0.606135804,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,1999,Whole Year ,Potato,7.655390645,10.06980675,2.500456992,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2000,Kharif     ,Sunflower,1.791759469,1.791759469,0.693147181,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2000,Rabi       ,Peas & beans (Pulses),6.689599269,6.738152495,0.717748667,October,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2000,Whole Year ,Dry chillies,5.587248658,5.616771098,0.708072831,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2000,Whole Year ,Potato,7.637234389,10.21979352,2.655834011,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2001,Rabi       ,Peas & beans (Pulses),6.792344427,6.776506992,0.685250918,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2001,Whole Year ,Dry chillies,5.293304825,5.361292166,0.727890129,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2001,Whole Year ,Potato,7.898411093,10.50336747,2.676579468,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2002,Kharif     ,Sunflower,2.995732274,3.091042453,0.744440475,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2002,Rabi       ,Peas & beans (Pulses),6.549650742,6.408528791,0.62497264,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2002,Whole Year ,Dry chillies,4.997212274,4.48863637,0.469152927,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2002,Whole Year ,Potato,8.040768994,10.87297776,2.889709311,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2003,Kharif     ,Sunflower,2.944438979,3.401197382,0.959775844,February,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2003,Rabi       ,Peas & beans (Pulses),6.931471806,6.871091295,0.663383079,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2003,Whole Year ,Dry chillies,5.579729826,5.416100402,0.614366303,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2003,Whole Year ,Potato,8.084562415,10.58910647,2.583351541,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2004,Kharif     ,Sunflower,0.693147181,0.693147181,0.693147181,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2004,Rabi       ,Peas & beans (Pulses),6.889591308,6.646390515,0.578798607,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2004,Whole Year ,Dry chillies,4.804021045,4.615120517,0.602372156,October,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2004,Whole Year ,Potato,8.429017501,10.5903148,2.270482529,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2005,Kharif     ,Sunflower,2.944438979,3.044522438,0.747214402,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2005,Rabi       ,Peas & beans (Pulses),6.97354302,6.883462586,0.649078747,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2005,Whole Year ,Dry chillies,4.672828834,4.672828834,0.693147181,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2005,Whole Year ,Potato,7.899153483,10.66078255,2.823228732,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2006,Rabi       ,Peas & beans (Pulses),6.932447892,6.856461985,0.6558387,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2006,Rabi       ,Sunflower,0.693147181,1.098612289,1.098612289,February,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2007,Rabi       ,Peas & beans (Pulses),6.958448393,6.882437471,0.655827609,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2007,Whole Year ,Dry chillies,4.532599493,3.713572067,0.361013346,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2007,Whole Year ,Potato,7.900266037,9.954323242,2.174979221,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2008,Kharif     ,Potato,7.074116816,9.121071904,2.1690537,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2008,Rabi       ,Peas & beans (Pulses),6.91274282,6.874198495,0.674041521,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2008,Rabi       ,Potato,7.399398083,9.735837836,2.429223136,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2008,Whole Year ,Dry chillies,4.564348191,4.204692619,0.527527473,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2009,Rabi       ,Peas & beans (Pulses),6.352629396,6.354370041,0.6940194,February,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2010,Rabi       ,Peas & beans (Pulses),6.285998095,6.320768294,0.710715825,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2011,Rabi       ,Peas & beans (Pulses),6.516193076,6.546785411,0.708582989,October,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2012,Rabi       ,Peas & beans (Pulses),6.516193076,6.556778356,0.713675761,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2013,Rabi       ,Peas & beans (Pulses),6.246106765,6.469250317,0.811145943,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,ROHTAS,2014,Rabi       ,Peas & beans (Pulses),5.826000107,5.834810737,0.697575232,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,1997,Rabi       ,Sunflower,7.512071246,7.36707706,0.623236134,October,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,1997,Whole Year ,Banana,2.995732274,5.860786223,2.966357665,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,1997,Whole Year ,Dry chillies,3.36729583,3.218875825,0.619039208,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,1997,Whole Year ,Potato,7.442492723,9.867963996,2.510704266,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,1998,Kharif     ,Sunflower,7.680637428,7.535830463,0.623329158,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,1998,Whole Year ,Banana,3.583518938,5.568344504,2.135011393,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,1998,Whole Year ,Dry chillies,1.945910149,2.197224577,0.84729786,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,1998,Whole Year ,Potato,6.754604099,8.443977129,1.859610758,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,1999,Kharif     ,Sunflower,7.163172391,7.693025748,0.992964623,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,1999,Rabi       ,Peas & beans (Pulses),6.359573869,6.061456919,0.554900554,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,1999,Whole Year ,Banana,2.63905733,5.669880923,3.14547766,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,1999,Whole Year ,Potato,6.257667588,8.951828677,2.76124827,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2000,Kharif     ,Sunflower,6.880384082,7.481555702,1.038544782,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2000,Rabi       ,Peas & beans (Pulses),6.769641977,6.80682936,0.711935094,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2000,Whole Year ,Banana,4.941642423,8.712924435,3.800890468,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2000,Whole Year ,Potato,7.164720379,9.70228894,2.614317723,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2001,Kharif     ,Sunflower,6.65415252,7.028201432,0.897798214,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2001,Rabi       ,Peas & beans (Pulses),6.687108608,6.674561392,0.686885419,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2001,Whole Year ,Banana,3.761200116,7.072421901,3.368936519,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2001,Whole Year ,Potato,6.853299093,9.424806382,2.646054838,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2002,Kharif     ,Sunflower,6.378426184,6.618738984,0.820708406,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2002,Rabi       ,Peas & beans (Pulses),6.552507887,6.408528791,0.623643975,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2002,Whole Year ,Banana,3.970291914,7.377758908,3.457892725,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2002,Whole Year ,Dry chillies,2.302585093,1.945910149,0.510825624,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2002,Whole Year ,Potato,7.451822237,9.97053854,2.596692472,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2003,Kharif     ,Sunflower,6.833031733,7.149916836,0.864259074,October,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2003,Rabi       ,Peas & beans (Pulses),6.732210706,6.66440902,0.659780421,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2003,Whole Year ,Banana,3.663561646,6.968850378,3.365479299,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2003,Whole Year ,Dry chillies,2.564949357,2.302585093,0.559615788,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2003,Whole Year ,Potato,7.259116128,9.730383385,2.552960113,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2004,Kharif     ,Sunflower,5.983936281,6.356107661,0.896912257,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2004,Rabi       ,Peas & beans (Pulses),6.419994928,6.29156914,0.630889905,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2004,Whole Year ,Banana,2.48490665,6.013715156,3.639975647,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2004,Whole Year ,Dry chillies,1.609437912,1.386294361,0.559615788,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2004,Whole Year ,Potato,7.298445102,9.33767762,2.162084896,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2005,Kharif     ,Sunflower,6.335054251,6.680854679,0.881224786,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2005,Rabi       ,Peas & beans (Pulses),6.985641818,6.902742737,0.652518069,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2005,Whole Year ,Banana,2.48490665,5.948034989,3.575914339,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2005,Whole Year ,Dry chillies,0.693147181,0.693147181,0.693147181,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2005,Whole Year ,Potato,7.201916318,9.722385252,2.59845503,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2006,Rabi       ,Peas & beans (Pulses),6.739336627,6.666956792,0.657569114,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2006,Rabi       ,Sunflower,6.32256524,6.652863029,0.872165927,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2007,Rabi       ,Peas & beans (Pulses),6.872128101,6.946013991,0.730810665,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2007,Rabi       ,Sunflower,5.683579767,6.033086222,0.883682918,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2007,Whole Year ,Banana,2.48490665,5.981414211,3.608457887,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2007,Whole Year ,Dry chillies,1.098612289,0.693147181,0.405465108,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2007,Whole Year ,Potato,7.151485464,9.763765609,2.683757509,February,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2008,Kharif     ,Potato,6.049733455,8.062747901,2.140205217,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2008,Rabi       ,Peas & beans (Pulses),6.047372179,6.008813185,0.67400784,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2008,Rabi       ,Potato,6.070737728,7.742402022,1.845461127,February,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2008,Rabi       ,Sunflower,5.683579767,6.033086222,0.883682918,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2008,Whole Year ,Dry chillies,3.465735903,3.80666249,0.883500909,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2009,Rabi       ,Peas & beans (Pulses),6.073044534,6.073044534,0.693147181,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2009,Rabi       ,Sunflower,3.555348061,3.891820298,0.880358723,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2010,Rabi       ,Peas & beans (Pulses),5.521460918,5.556828062,0.711058107,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2010,Rabi       ,Sunflower,4.624972813,4.983606622,0.890211019,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2011,Rabi       ,Peas & beans (Pulses),5.910796644,5.940171253,0.707982247,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2011,Rabi       ,Sunflower,4.49980967,4.875197323,0.90043536,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2012,Rabi       ,Peas & beans (Pulses),5.036952602,5.075173815,0.712565266,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2012,Rabi       ,Sunflower,3.17805383,3.526360525,0.889857475,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2013,Rabi       ,Peas & beans (Pulses),5.135798437,5.192956851,0.722303765,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2013,Rabi       ,Sunflower,5.105945474,5.468060141,0.891598119,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2014,Rabi       ,Peas & beans (Pulses),5.272999559,5.283203729,0.69828858,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAHARSA,2014,Rabi       ,Sunflower,4.234106505,4.584967479,0.886437769,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1997,Rabi       ,Sunflower,5.521460918,5.030437921,0.476508531,February,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1997,Whole Year ,Banana,7.149916836,6.901737207,0.576639843,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1997,Whole Year ,Dry chillies,5.602118821,5.204006687,0.513045381,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1997,Whole Year ,Potato,8.980549778,11.48248688,2.580786803,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1998,Kharif     ,Sunflower,5.872117789,5.384495063,0.478092297,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1998,Whole Year ,Banana,7.383989458,9.505692951,2.235366373,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1998,Whole Year ,Dry chillies,5.793013608,5.480638923,0.548633907,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1998,Whole Year ,Potato,9.178849705,11.72543669,2.622106007,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1999,Kharif     ,Sunflower,5.231108617,5.043425117,0.603198944,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1999,Rabi       ,Peas & beans (Pulses),5.602118821,5.298317367,0.552180809,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1999,Whole Year ,Banana,7.33432935,9.821952065,2.568009535,October,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1999,Whole Year ,Dry chillies,6.054439346,6.34738921,0.850653568,October,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,1999,Whole Year ,Potato,9.354527292,11.84474403,2.569925302,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2000,Kharif     ,Sunflower,3.970291914,3.583518938,0.5146644,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2000,Rabi       ,Peas & beans (Pulses),5.762051383,5.726847748,0.675644745,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2000,Whole Year ,Banana,7.410347098,9.670546159,2.359928451,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2000,Whole Year ,Dry chillies,6.061456919,6.109247583,0.717383797,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2000,Whole Year ,Potato,9.346705246,11.67506132,2.42142245,October,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2001,Kharif     ,Sunflower,5.010635294,5.117993812,0.748626333,October,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2001,Rabi       ,Peas & beans (Pulses),5.476463552,5.303304908,0.609948237,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2001,Whole Year ,Banana,7.428333194,9.52580783,2.213734386,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2001,Whole Year ,Dry chillies,5.831882477,5.38907173,0.495413345,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2001,Whole Year ,Potato,9.24425859,11.47026845,2.328606685,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2002,Kharif     ,Sunflower,3.401197382,3.401197382,0.693147181,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2002,Rabi       ,Peas & beans (Pulses),5.541263545,5.438079309,0.642682387,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2002,Whole Year ,Banana,7.400009517,10.3820792,3.032067152,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2002,Whole Year ,Dry chillies,5.587248658,5.141663557,0.494145935,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2002,Whole Year ,Potato,9.500544262,11.644664,2.254978576,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2003,Kharif     ,Sunflower,3.526360525,3.526360525,0.693147181,February,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2003,Rabi       ,Peas & beans (Pulses),5.564520407,5.433722004,0.629633775,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2003,Whole Year ,Banana,7.40367029,9.706681602,2.398781258,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2003,Whole Year ,Dry chillies,5.575949103,5.099866428,0.482285314,October,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2003,Whole Year ,Potato,9.520908548,11.41369059,2.033164985,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2004,Kharif     ,Sunflower,3.555348061,3.931825633,0.904456274,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2004,Rabi       ,Peas & beans (Pulses),5.564520407,5.613128106,0.717839793,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2004,Whole Year ,Banana,7.409136444,10.66396623,3.293252159,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2004,Whole Year ,Dry chillies,5.605802066,5.370638028,0.58203007,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2004,Whole Year ,Potato,9.562685958,10.79806423,1.490620805,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2005,Kharif     ,Sunflower,3.610917913,3.871201011,0.835321669,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2005,Rabi       ,Peas & beans (Pulses),5.583496309,5.501258211,0.652718191,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2005,Whole Year ,Banana,7.424761762,9.684958339,2.359919174,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2005,Whole Year ,Dry chillies,5.616771098,5.170483995,0.493894781,October,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2005,Whole Year ,Potato,9.5385644,11.49116031,2.085348149,October,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2006,Rabi       ,Peas & beans (Pulses),5.560681631,5.488937726,0.657780037,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2006,Rabi       ,Sunflower,3.688879454,3.931825633,0.825074724,May,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2007,Rabi       ,Peas & beans (Pulses),5.693732139,5.768320996,0.731262813,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2007,Rabi       ,Sunflower,3.663561646,4.043051268,0.905708623,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2007,Whole Year ,Banana,7.416979621,10.57126564,3.196621608,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2007,Whole Year ,Dry chillies,5.638354669,5.164785974,0.483307595,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2007,Whole Year ,Potato,9.466376967,11.54865934,2.199810412,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2008,Kharif     ,Potato,7.925880317,9.633972784,1.874883245,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2008,Rabi       ,Peas & beans (Pulses),6.401917197,6.363028104,0.673859371,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2008,Rabi       ,Potato,9.356862025,8.59674347,0.383604564,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2008,Rabi       ,Sunflower,3.663561646,4.043051268,0.905708623,November,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2008,Whole Year ,Dry chillies,4.718498871,4.248495242,0.48342665,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2009,Rabi       ,Peas & beans (Pulses),6.386879319,6.388561406,0.693989996,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2009,Rabi       ,Sunflower,3.465735903,3.80666249,0.883500909,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2010,Rabi       ,Peas & beans (Pulses),6.436150368,6.470799504,0.710649616,June,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2010,Rabi       ,Sunflower,3.988984047,4.343805422,0.889520491,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2011,Rabi       ,Peas & beans (Pulses),6.385194399,6.415096959,0.70823548,August,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2011,Rabi       ,Sunflower,3.583518938,3.951243719,0.898999235,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2012,Rabi       ,Peas & beans (Pulses),6.385194399,6.424869024,0.713214744,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2012,Rabi       ,Sunflower,3.688879454,4.060443011,0.900786545,December,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2013,Rabi       ,Peas & beans (Pulses),6.284134161,6.342121419,0.722615243,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2013,Rabi       ,Sunflower,3.761200116,4.127134385,0.89705937,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2014,Rabi       ,Peas & beans (Pulses),6.498282149,6.508769137,0.69841233,March,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SAMASTIPUR,2014,Rabi       ,Sunflower,6.349138991,6.751101469,0.914537883,January,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SARAN,1997,Whole Year ,Banana,5.361292166,8.544029845,3.22770466,July,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SARAN,1997,Whole Year ,Potato,8.616495392,10.42150724,1.957409999,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SARAN,1998,Kharif     ,Sunflower,1.609437912,1.386294361,0.559615788,April,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SARAN,1998,Whole Year ,Banana,3.850147602,6.732210706,2.955815666,February,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SARAN,1998,Whole Year ,Dry chillies,1.945910149,1.945910149,0.693147181,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SARAN,1998,Whole Year ,Potato,8.786456678,10.70099475,2.052158761,September,5.081265151,0.006009385,2.255553986,2.998331192
Bihar,SARAN,1999,Kharif     ,Sunflower,1.386294361,1.098612289,0.510825624,March,5.081265151,0.006009385,2.255553986,2.998331192
