State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Months,Temperature,Rainfall,Humidity,Sun hours
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Sunflower,9.966509299,9.409273195,0.452838366,January,4.701063709,-8.723019648,2.217610125,3
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Dry chillies,5.303304908,5.303304908,0.693147181,January,4.701063709,-8.723019648,2.217610125,3
Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Sunflower,9.510519036,8.101980732,0.218689201,April,5.205766034,14.93125876,2.28561805,2.983286778
Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Dry chillies,8.556413905,8.658692754,0.745603484,April,4.483302354,-12.67497479,2.190228376,3.082207001
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Dry chillies,8.23110984,9.224933374,1.308872495,June,4.785394446,-8.681836973,2.224213873,3.033150178
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Sunflower,10.32898402,10.1101358,0.589694419,March,5.176871642,15.58006537,2.313567918,2.983286778
Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Dry chillies,4.276666119,4.406719247,0.761200644,December,5.422176685,9.981236387,2.313567918,2.93257566
Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Banana,6.646390515,9.366831169,2.785348324,July,5.468089246,-8.153094892,2.217610125,3.065941943
Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Potato,1.609437912,3.555348061,2.251291799,July,5.118593557,14.65984665,2.295871062,2.983286778
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Dry chillies,8.233768709,8.871785969,1.062280714,April,5.347896783,9.952818262,2.302585093,2.93257566
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Sunflower,10.85149011,10.42171571,0.501168604,March,5.495452666,-7.972762538,2.213602995,3.098386677
Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Dry chillies,4.691347882,5.129898715,0.938269639,June,4.427188724,-12.75979355,2.177366809,3.098386677
Andhra Pradesh,ANANTAPUR,2001,Whole Year ,Banana,7.36707706,6.137727054,0.256218803,February,5.585696018,-7.853260114,2.216944632,3.065941943
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Dry chillies,7.914983006,8.720786883,1.175248509,March,4.679743583,-8.992620014,2.235872416,3.033150178
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Sunflower,11.007419,10.00559278,0.312763194,November,4.38178046,-12.61903905,2.18169321,3.049590136
Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Dry chillies,4.430816799,5.087596335,1.078327617,May,5.300943312,9.43983451,2.309752818,2.898275349
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,Banana,2.995732274,6.914730893,3.988008912,April,5.692099788,-7.773902055,2.220262738,3.098386677
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,Beans & Mutter(Vegetable),0.693147181,1.791759469,1.791759469,April,5.10881591,13.6499313,2.28561805,2.949576241
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,Cucumber,2.944438979,0,0,August,4.816637832,-8.888527703,2.233306421,3.033150178
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,Grapes,4.718498871,7.638198244,2.980298467,August,4.816637832,-8.888527703,2.233306421,3.033150178
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,Mango,8.286269453,10.17263644,2.027723709,March,4.816637832,-8.888527703,2.233306421,3.033150178
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,Potato,1.098612289,2.890371758,2.251291799,August,5.594640292,-7.49803351,2.223557646,3.098386677
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,Tomato,8.118802997,9.7188433,1.784132123,June,5.594640292,-7.49803351,2.223557646,3.098386677
Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Dry chillies,7.979681302,9.278279355,1.540102517,January,5.347896783,9.696673639,2.305906753,2.898275349
Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Sunflower,11.21890334,10.29461706,0.334188517,January,5.531726674,-7.147433507,2.224213873,3.082207001
Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Dry chillies,4.521788577,5.252273428,1.127495163,September,5.531726674,-7.147433507,2.224213873,3.082207001
